Accession,Species,Genus,Family,Order,Class,Phylum,Kingdom,Complete_BUSCOs,Single_Copy_BUSCOs,Fragmented_BUSCOs,Missing_BUSCOs,Selection_Reason,primary_lifestyle,Growth_form_template
GCA_963924395.1,Candida anglica,Kurtzmaniella,Debaryomycetaceae,Serinales,Pichiomycetes,Ascomycota,Fungi,732,729,4,22,GCA_only_from_4,nectar/tap_saprotroph,yeast-like
GCA_001661425.1,Candida arabinofermentans,Ogataea,Pichiaceae,Pichiales,Pichiomycetes,Ascomycota,Fungi,727,724,5,26,unique,nectar/tap_saprotroph,yeast-like
GCA_002008015.1,Candida boidinii,Ogataea,Pichiaceae,Pichiales,Pichiomycetes,Ascomycota,Fungi,725,721,3,30,GCA_only_from_14,nectar/tap_saprotroph,yeast-like
GCA_943733655.1,Candida jaroonii,Yamadazyma,Debaryomycetaceae,Serinales,Pichiomycetes,Ascomycota,Fungi,724,723,1,33,unique,nectar/tap_saprotroph,yeast-like
GCA_935541525.1,Candida railenensis,Kurtzmaniella,Debaryomycetaceae,Serinales,Pichiomycetes,Ascomycota,Fungi,729,725,3,26,unique,nectar/tap_saprotroph,yeast-like
GCF_019202705.1,Candida subhashii,Spathaspora,Debaryomycetaceae,Serinales,Pichiomycetes,Ascomycota,Fungi,729,725,6,23,GCF_preferred_from_2,other,yeast-like
GCA_002572855.1,Emmonsia crescens,Emergomyces,Ajellomycetaceae,Onygenales,Eurotiomycetes,Ascomycota,Fungi,747,745,1,10,GCA_only_from_2,soil_saprotroph,yeast-like
GCA_043643485.1,Neocosmospora sp. MSC-2022a,Fusarium,Nectriaceae,Hypocreales,Sordariomycetes,Ascomycota,Fungi,743,737,3,12,unique,plant_pathogen,filamentous_mycelium
GCA_000825705.1,Torrubiella hemipterigena,Unknown,Clavicipitaceae,Hypocreales,Sordariomycetes,Ascomycota,Fungi,752,747,1,5,unique,,
GCF_010015735.1,Aaosphaeria arxii,Aaosphaeria,Unknown,Pleosporales,Dothideomycetes,Ascomycota,Fungi,754,751,0,4,GCF_preferred_from_2,soil_saprotroph,filamentous_mycelium
GCA_047301825.1,Abortiporus biennis,Abortiporus,Podoscyphaceae,Polyporales,Agaricomycetes,Basidiomycota,Fungi,741,740,8,9,GCA_only_from_2,wood_saprotroph,filamentous_mycelium
GCA_900079185.1,Absidia glauca,Absidia,Cunninghamellaceae,Mucorales,Mucoromycetes,Mucoromycota,Fungi,703,569,20,35,unique,soil_saprotroph,filamentous_mycelium
GCA_002105175.1,Absidia repens,Absidia,Cunninghamellaceae,Mucorales,Mucoromycetes,Mucoromycota,Fungi,730,520,9,19,unique,soil_saprotroph,filamentous_mycelium
GCF_003144295.1,Acaromyces ingoldii,Acaromyces,Cryptobasidiaceae,Exobasidiales,Exobasidiomycetes,Basidiomycota,Fungi,711,710,11,36,GCF_preferred_from_2,animal_parasite,yeast-like
GCA_022814355.1,Acarospora aff. strigata,Acarospora,Acarosporaceae,Acarosporales,Lecanoromycetes,Ascomycota,Fungi,751,746,0,7,unique,lichenized,thallus_photosynthetic
GCA_014904845.1,Acephala macrosclerotiorum,Acephala,Mollisiaceae,Helotiales,Leotiomycetes,Ascomycota,Fungi,751,746,3,4,unique,soil_saprotroph,filamentous_mycelium
GCA_033296875.1,Achaetomium macrosporum,Achaetomium,Chaetomiaceae,Sordariales,Sordariomycetes,Ascomycota,Fungi,748,745,0,10,unique,unspecified_saprotroph,filamentous_mycelium
GCA_001572075.1,Acidomyces sp. 'richmondensis',Acidomyces,Teratosphaeriaceae,Mycosphaerellales,Dothideomycetes,Ascomycota,Fungi,744,743,6,8,GCA_only_from_2,soil_saprotroph,filamentous_mycelium
